availability_fraction,available_runs,field,total_runs
1.0,56,gpu_max_memory_free_bytes,56
1.0,56,gpu_max_memory_total_bytes,56
1.0,56,gpu_max_memory_used_bytes,56
1.0,56,gpu_max_nvlink_rx_mib_s,56
1.0,56,gpu_max_nvlink_tx_mib_s,56
1.0,56,gpu_max_pcie_rx_mib_s,56
1.0,56,gpu_max_pcie_tx_mib_s,56
1.0,56,gpu_max_power_average_w,56
1.0,56,gpu_max_power_instant_w,56
1.0,56,gpu_max_pstate,56
1.0,56,gpu_max_sm_activity_pct,56
1.0,56,gpu_max_sm_clock_mhz,56
1.0,56,gpu_max_sm_occupancy_pct,56
1.0,56,gpu_max_temperature_c,56
1.0,56,gpu_max_tensor_activity_pct,56
1.0,56,gpu_maximum_gap_s,56
1.0,56,gpu_mean_clock_event_reasons,56
1.0,56,gpu_mean_dfma_tensor_activity_pct,56
1.0,56,gpu_mean_dram_activity_pct,56
1.0,56,gpu_mean_enforced_power_limit_w,56
1.0,56,gpu_mean_fp16_activity_pct,56
1.0,56,gpu_mean_fp32_activity_pct,56
1.0,56,gpu_mean_fp64_activity_pct,56
1.0,56,gpu_mean_gpu_busy_pct,56
1.0,56,gpu_mean_graphics_activity_pct,56
1.0,56,gpu_mean_hmma_tensor_activity_pct,56
1.0,56,gpu_mean_imma_tensor_activity_pct,56
1.0,56,gpu_mean_integer_activity_pct,56
1.0,56,gpu_mean_interval_s,56
1.0,56,gpu_mean_memory_busy_pct,56
1.0,56,gpu_mean_memory_clock_mhz,56
1.0,56,gpu_mean_memory_free_bytes,56
1.0,56,gpu_mean_memory_total_bytes,56
1.0,56,gpu_mean_memory_used_bytes,56
1.0,56,gpu_mean_nvlink_rx_mib_s,56
1.0,56,gpu_mean_nvlink_tx_mib_s,56
1.0,56,gpu_mean_pcie_rx_mib_s,56
1.0,56,gpu_mean_pcie_tx_mib_s,56
1.0,56,gpu_mean_power_average_w,56
1.0,56,gpu_mean_power_instant_w,56
1.0,56,gpu_mean_pstate,56
1.0,56,gpu_mean_sm_activity_pct,56
1.0,56,gpu_mean_sm_clock_mhz,56
1.0,56,gpu_mean_sm_occupancy_pct,56
1.0,56,gpu_mean_temperature_c,56
1.0,56,gpu_mean_tensor_activity_pct,56
1.0,56,gpu_power_imbalance_fraction,56
1.0,56,gpu_raw_maximum_gap_s,56
1.0,56,gpu_sample_coverage,56
1.0,56,gpu_sample_row_count,56
1.0,56,hbm_error_row_count,56
1.0,56,hbm_row_count,56
1.0,56,hbm_successful_row_count,56
1.0,56,input_tokens,56
1.0,56,integrated_power_j,56
1.0,56,joules_per_1000_output_tokens,56
1.0,56,joules_per_request,56
1.0,56,label,56
1.0,56,max_running_requests,56
1.0,56,network_delta_eth0_rx_bytes,56
1.0,56,network_delta_eth0_rx_drops,56
1.0,56,network_delta_eth0_rx_errors,56
1.0,56,network_delta_eth0_rx_packets,56
1.0,56,network_delta_eth0_tx_bytes,56
1.0,56,network_delta_eth0_tx_drops,56
1.0,56,network_delta_eth0_tx_errors,56
1.0,56,network_delta_eth0_tx_packets,56
1.0,56,network_delta_lo_rx_bytes,56
1.0,56,network_delta_lo_rx_drops,56
1.0,56,network_delta_lo_rx_errors,56
1.0,56,network_delta_lo_rx_packets,56
1.0,56,network_delta_lo_tx_bytes,56
1.0,56,network_delta_lo_tx_drops,56
1.0,56,network_delta_lo_tx_errors,56
1.0,56,network_delta_lo_tx_packets,56
1.0,56,network_rate_eth0_rx_bytes_per_s,56
1.0,56,network_rate_eth0_rx_drops_per_s,56
1.0,56,network_rate_eth0_rx_errors_per_s,56
1.0,56,network_rate_eth0_rx_packets_per_s,56
1.0,56,network_rate_eth0_tx_bytes_per_s,56
1.0,56,network_rate_eth0_tx_drops_per_s,56
1.0,56,network_rate_eth0_tx_errors_per_s,56
1.0,56,network_rate_eth0_tx_packets_per_s,56
1.0,56,network_rate_lo_rx_bytes_per_s,56
1.0,56,network_rate_lo_rx_drops_per_s,56
1.0,56,network_rate_lo_rx_errors_per_s,56
1.0,56,network_rate_lo_rx_packets_per_s,56
1.0,56,network_rate_lo_tx_bytes_per_s,56
1.0,56,network_rate_lo_tx_drops_per_s,56
1.0,56,network_rate_lo_tx_errors_per_s,56
1.0,56,network_rate_lo_tx_packets_per_s,56
1.0,56,output_tokens,56
0.3392857142857143,19,prefix_reuse_fraction,56
1.0,56,queue_maximum,56
1.0,56,queue_median,56
1.0,56,queue_nonzero_fraction,56
1.0,56,queue_samples,56
1.0,56,radix_cache,56
1.0,56,request_count,56
1.0,56,run_id,56
1.0,56,service_max_sglang_cache_hit_rate,56
1.0,56,service_max_sglang_decode_sum_seq_lens,56
1.0,56,service_max_sglang_full_token_usage,56
1.0,56,service_max_sglang_gen_throughput,56
1.0,56,service_max_sglang_kv_available_tokens,56
1.0,56,service_max_sglang_kv_evictable_tokens,56
1.0,56,service_max_sglang_kv_used_tokens,56
1.0,56,service_max_sglang_num_queue_reqs,56
1.0,56,service_max_sglang_num_running_reqs,56
1.0,56,service_max_sglang_token_usage,56
1.0,56,service_maximum_gap_s,56
1.0,56,service_mean_sglang_cache_hit_rate,56
1.0,56,service_mean_sglang_decode_sum_seq_lens,56
1.0,56,service_mean_sglang_full_token_usage,56
1.0,56,service_mean_sglang_gen_throughput,56
1.0,56,service_mean_sglang_kv_available_tokens,56
1.0,56,service_mean_sglang_kv_evictable_tokens,56
1.0,56,service_mean_sglang_kv_used_tokens,56
1.0,56,service_mean_sglang_num_queue_reqs,56
1.0,56,service_mean_sglang_num_running_reqs,56
1.0,56,service_mean_sglang_token_usage,56
1.0,56,service_metrics_error_count,56
1.0,56,service_sample_count,56
1.0,56,success_count,56
1.0,56,throughput_output_tokens_s,56
1.0,56,throughput_requests_s,56
1.0,56,total_average_power_w,56
1.0,56,tpot_ms_p50,56
1.0,56,tpot_ms_p95,56
1.0,56,tpot_ms_p99,56
1.0,56,ttft_ms_p50,56
1.0,56,ttft_ms_p95,56
1.0,56,ttft_ms_p99,56
1.0,56,valid,56
1.0,56,workload,56
