feature,n,scope,spearman_rho,target
network_rate_eth0_tx_bytes_per_s,38,all-valid,-0.19647325452705744,e2e_ms_p95
network_delta_eth0_tx_packets,38,all-valid,-0.1963492681363475,e2e_ms_p95
gpu_mean_sm_clock_mhz,38,all-valid,-0.1952533330890373,e2e_ms_p95
network_rate_eth0_tx_packets_per_s,38,all-valid,-0.19312110421285172,e2e_ms_p95
network_delta_lo_rx_packets,38,all-valid,-0.18612539665171243,e2e_ms_p95
network_delta_lo_tx_packets,38,all-valid,-0.18612539665171243,e2e_ms_p95
service_max_sglang_kv_available_tokens,38,all-valid,0.16577368241051912,e2e_ms_p95
cgroup_rate_cpu_usage_usec_per_s,38,all-valid,-0.15789473684210525,e2e_ms_p95
service_max_sglang_token_usage,38,all-valid,0.1540663380101115,e2e_ms_p95
gpu_max_graphics_activity_pct,38,all-valid,0.1467337783127257,e2e_ms_p95
gpu_max_hmma_tensor_activity_pct,38,all-valid,0.14607725134040925,e2e_ms_p95
gpu_max_tensor_activity_pct,38,all-valid,0.14607725134040925,e2e_ms_p95
network_rate_lo_rx_packets_per_s,38,all-valid,-0.14498303971988183,e2e_ms_p95
network_rate_lo_tx_packets_per_s,38,all-valid,-0.14498303971988183,e2e_ms_p95
gpu_mean_pcie_rx_mib_s,38,all-valid,-0.14104387788598316,e2e_ms_p95
gpu_max_power_instant_w,38,all-valid,-0.13503310191465073,e2e_ms_p95
gpu_max_fp16_activity_pct,38,all-valid,-0.12747565379144327,e2e_ms_p95
gpu_max_dram_activity_pct,38,all-valid,0.11686564269221406,e2e_ms_p95
gpu_max_sm_activity_pct,38,all-valid,0.11500164131743079,e2e_ms_p95
cgroup_delta_cpu_usage_usec,38,all-valid,-0.11281321807637597,e2e_ms_p95
cgroup_delta_cpu_user_usec,38,all-valid,-0.11259437575227049,e2e_ms_p95
network_rate_lo_rx_bytes_per_s,38,all-valid,-0.11106247948353211,e2e_ms_p95
network_rate_lo_tx_bytes_per_s,38,all-valid,-0.11106247948353211,e2e_ms_p95
gpu_mean_interval_s,38,all-valid,0.10799868694605537,e2e_ms_p95
gpu_mean_memory_busy_pct,38,all-valid,0.1051537367326841,e2e_ms_p95
service_maximum_gap_s,38,all-valid,-0.09968267863004705,e2e_ms_p95
gpu_mean_dram_activity_pct,38,all-valid,0.09618120144435933,e2e_ms_p95
gpu_max_pcie_tx_mib_s,38,all-valid,0.09596235912025386,e2e_ms_p95
gpu_max_pcie_rx_mib_s,38,all-valid,0.09464930517562097,e2e_ms_p95
gpu_max_memory_used_bytes,38,all-valid,0.07933034248823723,e2e_ms_p95
service_max_sglang_num_running_reqs,38,all-valid,0.07656483456267443,e2e_ms_p95
service_mean_sglang_num_running_reqs,38,all-valid,-0.06576211839369735,e2e_ms_p95
cgroup_delta_cpu_system_usec,38,all-valid,-0.06488674909727542,e2e_ms_p95
gpu_max_sm_occupancy_pct,38,all-valid,-0.06226064120800963,e2e_ms_p95
gpu_counter_energy_j,38,all-valid,0.060291060291060294,e2e_ms_p95
gpu_mean_memory_free_bytes,38,all-valid,0.05832147937411095,e2e_ms_p95
gpu_mean_memory_used_bytes,38,all-valid,-0.05832147937411095,e2e_ms_p95
cgroup_rate_cpu_system_usec_per_s,38,all-valid,0.045628624575992996,e2e_ms_p95
service_mean_sglang_token_usage,38,all-valid,-0.0443155706313601,e2e_ms_p95
service_mean_sglang_gen_throughput,38,all-valid,-0.0419083050661998,e2e_ms_p95
cgroup_delta_cpu_nr_periods,38,all-valid,-0.040177354483988265,e2e_ms_p95
service_max_sglang_gen_throughput,38,all-valid,-0.039719881825144986,e2e_ms_p95
gpu_max_memory_free_bytes,38,all-valid,-0.03962698453454258,e2e_ms_p95
queue_samples,38,all-valid,-0.02974931895402923,e2e_ms_p95
service_sample_count,38,all-valid,-0.02974931895402923,e2e_ms_p95
gpu_sample_row_count,38,all-valid,-0.028680900395990614,e2e_ms_p95
network_delta_lo_rx_bytes,38,all-valid,-0.016960280118174857,e2e_ms_p95
network_delta_lo_tx_bytes,38,all-valid,-0.016960280118174857,e2e_ms_p95
service_max_sglang_kv_used_tokens,38,all-valid,0.6936207462523252,joules_per_request
service_max_sglang_full_token_usage,38,all-valid,0.6807090491301018,joules_per_request
service_max_sglang_decode_sum_seq_lens,38,all-valid,0.6710439961388953,joules_per_request
service_max_sglang_gen_throughput,38,all-valid,-0.6559798665061823,joules_per_request
service_mean_sglang_full_token_usage,38,all-valid,0.6327825801510012,joules_per_request
service_mean_sglang_kv_used_tokens,38,all-valid,0.6279680490206806,joules_per_request
network_rate_lo_rx_packets_per_s,38,all-valid,-0.6198708830287778,joules_per_request
network_rate_lo_tx_packets_per_s,38,all-valid,-0.6198708830287778,joules_per_request
service_mean_sglang_gen_throughput,38,all-valid,-0.5767589451799978,joules_per_request
service_mean_sglang_token_usage,38,all-valid,-0.5647226173541963,joules_per_request
gpu_max_sm_occupancy_pct,38,all-valid,-0.551373235583762,joules_per_request
network_rate_lo_rx_bytes_per_s,38,all-valid,-0.5467775467775468,joules_per_request
network_rate_lo_tx_bytes_per_s,38,all-valid,-0.5467775467775468,joules_per_request
service_mean_sglang_num_running_reqs,38,all-valid,-0.5380238538133275,joules_per_request
service_mean_sglang_kv_available_tokens,38,all-valid,-0.5270817376080534,joules_per_request
cgroup_rate_cpu_usage_usec_per_s,38,all-valid,-0.5091366670314039,joules_per_request
gpu_max_integer_activity_pct,38,all-valid,-0.4784987416566364,joules_per_request
service_mean_sglang_decode_sum_seq_lens,38,all-valid,0.45705219389429913,joules_per_request
gpu_max_pcie_tx_mib_s,38,all-valid,0.4539884013568224,joules_per_request
cgroup_rate_cpu_user_usec_per_s,38,all-valid,-0.45333187438450595,joules_per_request
gpu_busy_imbalance_fraction,38,all-valid,-0.45333187438450595,joules_per_request
service_max_sglang_num_running_reqs,38,all-valid,-0.45096321218493884,joules_per_request
gpu_max_pcie_rx_mib_s,38,all-valid,0.4334172228909071,joules_per_request
service_max_sglang_token_usage,38,all-valid,-0.43258108870597684,joules_per_request
gpu_max_interval_s,38,all-valid,0.4215997373892111,joules_per_request
gpu_maximum_gap_s,38,all-valid,0.40540540540540543,joules_per_request
gpu_raw_maximum_gap_s,38,all-valid,0.40540540540540543,joules_per_request
gpu_mean_dram_activity_pct,38,all-valid,-0.40365466681256157,joules_per_request
gpu_max_nvlink_rx_mib_s,38,all-valid,-0.4008097165991903,joules_per_request
queue_maximum,38,all-valid,-0.3904548477680377,joules_per_request
service_max_sglang_num_queue_reqs,38,all-valid,-0.3904548477680377,joules_per_request
gpu_mean_memory_busy_pct,38,all-valid,-0.38899223109749426,joules_per_request
network_delta_lo_rx_packets,38,all-valid,-0.38155159207790784,joules_per_request
network_delta_lo_tx_packets,38,all-valid,-0.38155159207790784,joules_per_request
gpu_max_memory_free_bytes,38,all-valid,0.3762916980177617,joules_per_request
gpu_max_nvlink_tx_mib_s,38,all-valid,-0.3699529489003173,joules_per_request
gpu_mean_power_instant_w,38,all-valid,0.36119925593609803,joules_per_request
gpu_sample_coverage,38,all-valid,-0.3596673596673597,joules_per_request
gpu_mean_power_average_w,38,all-valid,0.35397745924061713,joules_per_request
gpu_mean_pcie_rx_mib_s,38,all-valid,0.3460991355728198,joules_per_request
service_mean_sglang_num_queue_reqs,38,all-valid,-0.3423788160630266,joules_per_request
gpu_max_clock_event_reasons,38,all-valid,-0.34222378222022665,joules_per_request
cgroup_rate_cpu_system_usec_per_s,38,all-valid,-0.3412846044424992,joules_per_request
cgroup_max_memory_current_bytes,38,all-valid,0.33318743845059634,joules_per_request
gpu_mean_gpu_busy_pct,38,all-valid,0.3325309114782799,joules_per_request
gpu_mean_pcie_tx_mib_s,38,all-valid,0.3272786956997483,joules_per_request
gpu_max_fp16_activity_pct,38,all-valid,-0.3237772185140606,joules_per_request
gpu_max_hmma_tensor_activity_pct,38,all-valid,0.3204945836524784,joules_per_request
gpu_max_tensor_activity_pct,38,all-valid,0.3204945836524784,joules_per_request
gpu_max_power_average_w,38,all-valid,0.3082394135025714,joules_per_request
gpu_mean_hmma_tensor_activity_pct,38,all-valid,0.28569865411970674,joules_per_request
gpu_mean_tensor_activity_pct,38,all-valid,0.28569865411970674,joules_per_request
queue_nonzero_fraction,38,all-valid,-0.2606697323553243,joules_per_request
service_maximum_gap_s,38,all-valid,-0.258562205930627,joules_per_request
queue_median,38,all-valid,-0.25108538105732064,joules_per_request
gpu_mean_temperature_c,38,all-valid,0.24302440091913777,joules_per_request
gpu_max_temperature_c,38,all-valid,0.24048747389327677,joules_per_request
gpu_max_fp32_activity_pct,38,all-valid,0.23930408140934456,joules_per_request
gpu_mean_nvlink_tx_mib_s,38,all-valid,0.234051865630813,joules_per_request
gpu_mean_nvlink_rx_mib_s,38,all-valid,0.23164460006565268,joules_per_request
gpu_mean_fp16_activity_pct,38,all-valid,0.22376627639785535,joules_per_request
cgroup_mean_memory_current_bytes,38,all-valid,0.21807637597111282,joules_per_request
network_delta_eth0_tx_bytes,38,all-valid,-0.21699300903313765,joules_per_request
network_rate_eth0_tx_bytes_per_s,38,all-valid,-0.21509631182820033,joules_per_request
network_delta_eth0_tx_packets,38,all-valid,-0.2144193620729943,joules_per_request
network_rate_eth0_tx_packets_per_s,38,all-valid,-0.2098818557838803,joules_per_request
network_delta_lo_rx_bytes,38,all-valid,-0.209541525330999,joules_per_request
network_delta_lo_tx_bytes,38,all-valid,-0.209541525330999,joules_per_request
network_delta_eth0_rx_bytes,38,all-valid,-0.18798026840267554,joules_per_request
network_delta_eth0_rx_packets,38,all-valid,-0.18798026840267554,joules_per_request
gpu_mean_graphics_activity_pct,38,all-valid,0.18721960827223985,joules_per_request
gpu_mean_integer_activity_pct,38,all-valid,-0.18700076594813436,joules_per_request
network_rate_eth0_rx_bytes_per_s,38,all-valid,-0.1844308549982046,joules_per_request
network_rate_eth0_rx_packets_per_s,38,all-valid,-0.1844308549982046,joules_per_request
cgroup_delta_cpu_usage_usec,38,all-valid,-0.17299485720538352,joules_per_request
gpu_mean_fp32_activity_pct,38,all-valid,0.17277601488127803,joules_per_request
gpu_max_power_instant_w,38,all-valid,-0.15615254167925982,joules_per_request
gpu_power_imbalance_fraction,38,all-valid,-0.14301345880293248,joules_per_request
cgroup_delta_cpu_user_usec,38,all-valid,-0.13994966626545574,joules_per_request
cgroup_rate_cpu_nr_periods_per_s,38,all-valid,-0.13994966626545574,joules_per_request
gpu_fraction_clock_event_sw_power_cap,38,all-valid,0.12914566332334979,joules_per_request
gpu_mean_clock_event_reasons,38,all-valid,0.12914566332334979,joules_per_request
gpu_mean_sm_clock_mhz,38,all-valid,-0.12914566332334979,joules_per_request
gpu_max_graphics_activity_pct,38,all-valid,-0.12638144217091585,joules_per_request
gpu_max_dram_activity_pct,38,all-valid,-0.11906857657896644,joules_per_request
gpu_max_memory_busy_pct,38,all-valid,0.11646979751366889,joules_per_request
cgroup_delta_cpu_system_usec,38,all-valid,-0.10602910602910603,joules_per_request
gpu_mean_memory_free_bytes,38,all-valid,0.10493489440857862,joules_per_request
gpu_mean_memory_used_bytes,38,all-valid,-0.10493489440857862,joules_per_request
gpu_counter_energy_j,38,all-valid,0.08961593172119488,joules_per_request
gpu_mean_sm_occupancy_pct,38,all-valid,-0.08589561221140168,joules_per_request
gpu_mean_interval_s,38,all-valid,0.08392603129445235,joules_per_request
service_mean_sglang_kv_evictable_tokens,38,all-valid,0.06901862139212378,joules_per_request
service_max_sglang_kv_evictable_tokens,38,all-valid,0.06714692996454076,joules_per_request
cgroup_delta_cpu_nr_periods,38,all-valid,-0.058459692900407985,joules_per_request
queue_samples,38,all-valid,-0.04489841864279688,joules_per_request
service_sample_count,38,all-valid,-0.04489841864279688,joules_per_request
gpu_sample_row_count,38,all-valid,-0.043787634192352085,joules_per_request
gpu_max_sm_activity_pct,38,all-valid,-0.03731261625998468,joules_per_request
gpu_max_memory_used_bytes,38,all-valid,0.033373454426086004,joules_per_request
gpu_mean_sm_activity_pct,38,all-valid,0.02199365357260094,joules_per_request
service_max_sglang_cache_hit_rate,38,all-valid,0.02120362919007713,joules_per_request
service_mean_sglang_cache_hit_rate,38,all-valid,0.02120362919007713,joules_per_request
service_max_sglang_kv_available_tokens,38,all-valid,-0.003935967319802829,joules_per_request
service_max_sglang_gen_throughput,38,all-valid,0.6680161943319838,throughput_requests_s
service_max_sglang_full_token_usage,38,all-valid,-0.6487580698107014,throughput_requests_s
service_max_sglang_kv_used_tokens,38,all-valid,-0.648101542838385,throughput_requests_s
service_max_sglang_decode_sum_seq_lens,38,all-valid,-0.6282556395683949,throughput_requests_s
service_mean_sglang_token_usage,38,all-valid,0.587263376737061,throughput_requests_s
service_mean_sglang_full_token_usage,38,all-valid,-0.5855126381442171,throughput_requests_s
network_rate_lo_rx_packets_per_s,38,all-valid,0.5710690447532553,throughput_requests_s
network_rate_lo_tx_packets_per_s,38,all-valid,0.5710690447532553,throughput_requests_s
service_mean_sglang_kv_used_tokens,38,all-valid,-0.5588138746033483,throughput_requests_s
service_mean_sglang_gen_throughput,38,all-valid,0.5561877667140825,throughput_requests_s
service_mean_sglang_num_running_reqs,38,all-valid,0.5526862895283948,throughput_requests_s
gpu_max_sm_occupancy_pct,38,all-valid,0.5356165882481672,throughput_requests_s
service_mean_sglang_kv_available_tokens,38,all-valid,0.5286136338767917,throughput_requests_s
service_max_sglang_token_usage,38,all-valid,0.5080204680074797,throughput_requests_s
gpu_max_integer_activity_pct,38,all-valid,0.501477185687712,throughput_requests_s
network_rate_lo_rx_bytes_per_s,38,all-valid,0.49731918152970783,throughput_requests_s
network_rate_lo_tx_bytes_per_s,38,all-valid,0.49731918152970783,throughput_requests_s
service_max_sglang_num_running_reqs,38,all-valid,0.49541233464237666,throughput_requests_s
gpu_max_pcie_tx_mib_s,38,all-valid,-0.46843199474778424,throughput_requests_s
queue_maximum,38,all-valid,0.462262635863309,throughput_requests_s
service_max_sglang_num_queue_reqs,38,all-valid,0.462262635863309,throughput_requests_s
gpu_max_pcie_rx_mib_s,38,all-valid,-0.45705219389429913,throughput_requests_s
gpu_max_nvlink_rx_mib_s,38,all-valid,0.4566145092460882,throughput_requests_s
cgroup_rate_cpu_usage_usec_per_s,38,all-valid,0.4445781814202867,throughput_requests_s
gpu_max_nvlink_tx_mib_s,38,all-valid,0.4264142685195317,throughput_requests_s
gpu_max_interval_s,38,all-valid,-0.4255388992231097,throughput_requests_s
gpu_max_clock_event_reasons,38,all-valid,0.4211985011941251,throughput_requests_s
service_mean_sglang_decode_sum_seq_lens,38,all-valid,-0.4178794178794179,throughput_requests_s
service_mean_sglang_num_queue_reqs,38,all-valid,0.41218951745267535,throughput_requests_s
gpu_maximum_gap_s,38,all-valid,-0.40628077470182733,throughput_requests_s
gpu_raw_maximum_gap_s,38,all-valid,-0.40628077470182733,throughput_requests_s
cgroup_rate_cpu_user_usec_per_s,38,all-valid,0.39993434730276833,throughput_requests_s
gpu_busy_imbalance_fraction,38,all-valid,0.3970893970893971,throughput_requests_s
gpu_max_memory_free_bytes,38,all-valid,-0.3939646744999261,throughput_requests_s
gpu_mean_dram_activity_pct,38,all-valid,0.39293139293139295,throughput_requests_s
gpu_max_fp16_activity_pct,38,all-valid,0.3863661232082285,throughput_requests_s
gpu_mean_pcie_rx_mib_s,38,all-valid,-0.3828646460225408,throughput_requests_s
gpu_mean_memory_busy_pct,38,all-valid,0.38067622278148594,throughput_requests_s
network_delta_lo_rx_packets,38,all-valid,0.3804573804573805,throughput_requests_s
network_delta_lo_tx_packets,38,all-valid,0.3804573804573805,throughput_requests_s
gpu_sample_coverage,38,all-valid,0.36732684101105156,throughput_requests_s
cgroup_max_memory_current_bytes,38,all-valid,-0.34062807747018276,throughput_requests_s
queue_nonzero_fraction,38,all-valid,0.3397898904127968,throughput_requests_s
cgroup_rate_cpu_system_usec_per_s,38,all-valid,0.319400372031951,throughput_requests_s
queue_median,38,all-valid,0.3032912523662685,throughput_requests_s
service_maximum_gap_s,38,all-valid,0.2933581354633986,throughput_requests_s
gpu_mean_gpu_busy_pct,38,all-valid,-0.28679286574023416,throughput_requests_s
gpu_mean_pcie_tx_mib_s,38,all-valid,-0.26862895283947913,throughput_requests_s
gpu_max_hmma_tensor_activity_pct,38,all-valid,-0.25637378268957217,throughput_requests_s
gpu_max_tensor_activity_pct,38,all-valid,-0.25637378268957217,throughput_requests_s
network_delta_eth0_tx_bytes,38,all-valid,0.250147305692278,throughput_requests_s
network_delta_eth0_tx_packets,38,all-valid,0.24832407440773363,throughput_requests_s
network_rate_eth0_tx_bytes_per_s,38,all-valid,0.24824535382423465,throughput_requests_s
gpu_mean_power_instant_w,38,all-valid,-0.24521282416019258,throughput_requests_s
network_rate_eth0_tx_packets_per_s,38,all-valid,0.2445207423640061,throughput_requests_s
gpu_max_power_instant_w,38,all-valid,0.24292827086752403,throughput_requests_s
cgroup_mean_memory_current_bytes,38,all-valid,-0.23974176605755554,throughput_requests_s
gpu_mean_integer_activity_pct,38,all-valid,0.2364591311959733,throughput_requests_s
gpu_mean_power_average_w,38,all-valid,-0.23580260422365684,throughput_requests_s
network_delta_lo_rx_bytes,38,all-valid,0.203632782580151,throughput_requests_s
network_delta_lo_tx_bytes,38,all-valid,0.203632782580151,throughput_requests_s
cgroup_delta_cpu_usage_usec,38,all-valid,0.19684867053288105,throughput_requests_s
gpu_max_power_average_w,38,all-valid,-0.19597330123645912,throughput_requests_s
network_delta_eth0_rx_bytes,38,all-valid,0.1938438731051443,throughput_requests_s
network_delta_eth0_rx_packets,38,all-valid,0.1938438731051443,throughput_requests_s
network_rate_eth0_rx_bytes_per_s,38,all-valid,0.19029127468973633,throughput_requests_s
network_rate_eth0_rx_packets_per_s,38,all-valid,0.19029127468973633,throughput_requests_s
gpu_max_graphics_activity_pct,38,all-valid,0.1878761352445563,throughput_requests_s
gpu_mean_hmma_tensor_activity_pct,38,all-valid,-0.1841558157347631,throughput_requests_s
gpu_mean_tensor_activity_pct,38,all-valid,-0.1841558157347631,throughput_requests_s
service_mean_sglang_kv_evictable_tokens,38,all-valid,-0.18365972133158362,throughput_requests_s
gpu_max_dram_activity_pct,38,all-valid,0.18317395268346087,throughput_requests_s
service_max_sglang_kv_evictable_tokens,38,all-valid,-0.18272387561779213,throughput_requests_s
gpu_mean_memory_free_bytes,38,all-valid,-0.1670861144545355,throughput_requests_s
gpu_mean_memory_used_bytes,38,all-valid,0.1670861144545355,throughput_requests_s
cgroup_delta_cpu_user_usec,38,all-valid,0.15898894846263267,throughput_requests_s
gpu_mean_temperature_c,38,all-valid,-0.15045409782251887,throughput_requests_s
gpu_max_temperature_c,38,all-valid,-0.14793324317466044,throughput_requests_s
gpu_max_fp32_activity_pct,38,all-valid,-0.14739030528504213,throughput_requests_s
gpu_mean_graphics_activity_pct,38,all-valid,-0.1462960936645147,throughput_requests_s
cgroup_delta_cpu_system_usec,38,all-valid,0.14366998577524892,throughput_requests_s
cgroup_rate_cpu_nr_periods_per_s,38,all-valid,0.14126272021008862,throughput_requests_s
service_max_sglang_cache_hit_rate,38,all-valid,-0.12863535041980123,throughput_requests_s
service_mean_sglang_cache_hit_rate,38,all-valid,-0.12863535041980123,throughput_requests_s
gpu_mean_nvlink_tx_mib_s,38,all-valid,-0.12134806871648977,throughput_requests_s
gpu_mean_fp16_activity_pct,38,all-valid,-0.11872196082722399,throughput_requests_s
gpu_mean_nvlink_rx_mib_s,38,all-valid,-0.11872196082722399,throughput_requests_s
gpu_mean_interval_s,38,all-valid,-0.11412627202100886,throughput_requests_s
gpu_mean_sm_occupancy_pct,38,all-valid,0.10953058321479374,throughput_requests_s
gpu_power_imbalance_fraction,38,all-valid,0.1003392056023635,throughput_requests_s
cgroup_delta_cpu_nr_periods,38,all-valid,0.09765177166135566,throughput_requests_s
gpu_sample_row_count,38,all-valid,0.08659004661537625,throughput_requests_s
queue_samples,38,all-valid,0.08529601781284396,throughput_requests_s
service_sample_count,38,all-valid,0.08529601781284396,throughput_requests_s
gpu_mean_fp32_activity_pct,38,all-valid,-0.07517233833023307,throughput_requests_s
gpu_max_sm_activity_pct,38,all-valid,0.06816938395885765,throughput_requests_s
gpu_max_memory_busy_pct,38,all-valid,-0.04824388769049602,throughput_requests_s
gpu_mean_sm_activity_pct,38,all-valid,0.04694167852062589,throughput_requests_s
service_max_sglang_kv_available_tokens,38,all-valid,0.038317799495727535,throughput_requests_s
gpu_counter_energy_j,38,all-valid,-0.026808184702921546,throughput_requests_s
gpu_mean_sm_clock_mhz,38,all-valid,0.010743866728088521,throughput_requests_s
gpu_fraction_clock_event_sw_power_cap,38,all-valid,-0.009647553796650917,throughput_requests_s
gpu_mean_clock_event_reasons,38,all-valid,-0.009647553796650917,throughput_requests_s
gpu_max_memory_used_bytes,38,all-valid,0.007112375533428165,throughput_requests_s
service_mean_sglang_num_queue_reqs,38,all-valid,0.9194660247291826,ttft_ms_p95
queue_maximum,38,all-valid,0.8731870817621633,ttft_ms_p95
service_max_sglang_num_queue_reqs,38,all-valid,0.8731870817621633,ttft_ms_p95
queue_nonzero_fraction,38,all-valid,0.8409936579137982,ttft_ms_p95
queue_median,38,all-valid,0.8207331196937313,ttft_ms_p95
gpu_mean_fp32_activity_pct,38,all-valid,0.7010613852719116,ttft_ms_p95
gpu_mean_power_instant_w,38,all-valid,0.5855126381442171,ttft_ms_p95
gpu_mean_power_average_w,38,all-valid,0.5399934347302768,ttft_ms_p95
gpu_mean_nvlink_tx_mib_s,38,all-valid,0.5375861691651165,ttft_ms_p95
gpu_mean_nvlink_rx_mib_s,38,all-valid,0.5373673268410111,ttft_ms_p95
gpu_mean_sm_activity_pct,38,all-valid,0.5275194222562644,ttft_ms_p95
gpu_mean_hmma_tensor_activity_pct,38,all-valid,0.5154830944304628,ttft_ms_p95
gpu_mean_tensor_activity_pct,38,all-valid,0.5154830944304628,ttft_ms_p95
gpu_mean_integer_activity_pct,38,all-valid,0.501914870335923,ttft_ms_p95
gpu_mean_pcie_tx_mib_s,38,all-valid,0.4914104387788598,ttft_ms_p95
gpu_mean_fp16_activity_pct,38,all-valid,0.49009738483422693,ttft_ms_p95
service_max_sglang_gen_throughput,38,all-valid,0.4697450486924171,ttft_ms_p95
gpu_max_power_average_w,38,all-valid,0.46843199474778424,ttft_ms_p95
cgroup_rate_cpu_nr_periods_per_s,38,all-valid,-0.4553014553014553,ttft_ms_p95
gpu_max_fp32_activity_pct,38,all-valid,0.4447970237443922,ttft_ms_p95
cgroup_delta_cpu_user_usec,38,all-valid,-0.4366998577524893,ttft_ms_p95
gpu_mean_sm_occupancy_pct,38,all-valid,0.3949009738483423,ttft_ms_p95
gpu_max_memory_busy_pct,38,all-valid,0.38904224306935464,ttft_ms_p95
gpu_fraction_clock_event_sw_power_cap,38,all-valid,0.3846962076414553,ttft_ms_p95
gpu_mean_clock_event_reasons,38,all-valid,0.3846962076414553,ttft_ms_p95
gpu_mean_sm_clock_mhz,38,all-valid,-0.37746054229396714,ttft_ms_p95
